event_id,customer_id,customer_name,city,failure_type,sub_reason,amount_inr,currency,failed_at,detected_at,contact_channel_pref,language_pref,prior_attempts,risk_score,phone_masked,do_not_disturb_hours,status
evt_90d00,cust_525,Kiara Nair,Chennai,failed_payment,insufficient_funds,9927.09,INR,2026-08-30T23:00:00Z,2026-08-31T10:00:00Z,voice,english,0.0,0.06,+91-XXXXX-83920,22:00-08:00 IST,OPEN
evt_50368,cust_21ab,Rahul Kapoor,Delhi,failed_payment,bank_decline,18610.18,INR,2026-08-30T04:00:00Z,2026-08-31T10:00:00Z,voice,hinglish,0.0,0.68,+91-XXXXX-59192,22:00-08:00 IST,OPEN
evt_7df52,cust_1099,Rohan Joshi,Lucknow,failed_payment,bank_decline,8042.63,INR,2026-08-28T04:00:00Z,2026-08-31T10:00:00Z,voice,hindi,0.0,0.39,+91-XXXXX-58571,22:00-08:00 IST,OPEN
evt_2a112,cust_2449,Ishaan Sharma,Kolkata,abandoned_checkout,otp_abandon,3532.04,INR,2026-08-27T13:00:00Z,2026-08-31T10:00:00Z,sms,english,1.0,0.2,+91-XXXXX-80539,22:00-08:00 IST,OPEN
evt_deb8e,cust_22d9,Suresh Chopra,Lucknow,failed_payment,bank_decline,8783.47,INR,2026-08-28T19:00:00Z,2026-08-31T10:00:00Z,voice,hinglish,2.0,0.14,+91-XXXXX-13761,22:00-08:00 IST,OPEN
evt_96f4d,cust_18b5,Kavita Bansal,Hyderabad,subscription_lapse,card_expired,4049.61,INR,2026-08-27T18:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,2.0,0.24,+91-XXXXX-63271,22:00-08:00 IST,OPEN
evt_957d7,cust_1349,Navya Bansal,Ahmedabad,failed_payment,insufficient_funds,1849.27,INR,2026-08-29T01:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,1.0,0.79,+91-XXXXX-82140,22:00-08:00 IST,OPEN
evt_6d18b,cust_1a6c,Suresh Shah,Pune,failed_payment,insufficient_funds,3842.8,INR,2026-08-29T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,3.0,0.29,+91-XXXXX-87278,22:00-08:00 IST,OPEN
evt_db06f,cust_257b,Diya Reddy,Bangalore,failed_payment,insufficient_funds,4795.57,INR,2026-08-27T13:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.15,+91-XXXXX-26551,22:00-08:00 IST,OPEN
evt_bbb56,cust_2352,Ananya Sharma,Indore,subscription_lapse,card_expired,2505.64,INR,2026-08-26T17:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,0.0,0.35,+91-XXXXX-85631,22:00-08:00 IST,OPEN
evt_b98d5,cust_756,Vikram Patel,Indore,subscription_lapse,card_expired,699.44,INR,2026-08-28T18:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,1.0,0.33,+91-XXXXX-68028,22:00-08:00 IST,OPEN
evt_64895,cust_1f59,Myra Joshi,Indore,failed_payment,insufficient_funds,9339.65,INR,2026-08-30T08:00:00Z,2026-08-31T10:00:00Z,email,hinglish,0.0,0.28,+91-XXXXX-10350,22:00-08:00 IST,OPEN
evt_80fe9,cust_20bd,Diya Bansal,Pune,failed_payment,insufficient_funds,3856.41,INR,2026-08-28T09:00:00Z,2026-08-31T10:00:00Z,voice,hinglish,1.0,0.37,+91-XXXXX-35928,22:00-08:00 IST,OPEN
evt_853fe,cust_b40,Kiara Malhotra,Chandigarh,failed_payment,insufficient_funds,13671.97,INR,2026-08-29T21:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.31,+91-XXXXX-49857,22:00-08:00 IST,OPEN
evt_cb8bb,cust_1daa,Rahul Pillai,Jaipur,abandoned_checkout,otp_abandon,11505.65,INR,2026-08-30T23:00:00Z,2026-08-31T10:00:00Z,voice,hindi,1.0,0.47,+91-XXXXX-86955,22:00-08:00 IST,OPEN
evt_1db99,cust_1527,Sai Nair,Delhi,abandoned_checkout,otp_abandon,13454.65,INR,2026-08-26T16:00:00Z,2026-08-31T10:00:00Z,email,hinglish,0.0,0.27,+91-XXXXX-53687,22:00-08:00 IST,OPEN
evt_6a9ad,cust_a99,Kavita Agarwal,Kolkata,overdue_invoice,cash_flow_delay,131435.22,INR,2026-08-27T03:00:00Z,2026-08-31T10:00:00Z,voice,hindi,0.0,0.16,+91-XXXXX-77449,22:00-08:00 IST,OPEN
evt_eb986,cust_3fa,Kiara Kumar,Kolkata,failed_payment,insufficient_funds,3219.95,INR,2026-08-27T13:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0.0,0.07,+91-XXXXX-73532,22:00-08:00 IST,OPEN
evt_377fc,cust_5c0,Diya Malhotra,Lucknow,failed_payment,insufficient_funds,5005.88,INR,2026-08-31T06:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,3.0,0.54,+91-XXXXX-75323,22:00-08:00 IST,OPEN
evt_cfdd5,cust_1695,Amit Shah,Kolkata,abandoned_checkout,otp_abandon,24525.85,INR,2026-08-28T19:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0.0,0.26,+91-XXXXX-64387,22:00-08:00 IST,OPEN
evt_6f6c1,cust_2466,Rahul Sharma,Pune,overdue_invoice,forgotten,51797.82,INR,2026-08-26T04:00:00Z,2026-08-31T10:00:00Z,voice,hinglish,0.0,0.63,+91-XXXXX-34727,22:00-08:00 IST,OPEN
evt_caf94,cust_1330,Sai Vera,Hyderabad,subscription_lapse,mandate_revoked,2347.9,INR,2026-08-28T00:00:00Z,2026-08-31T10:00:00Z,voice,hindi,1.0,0.91,+91-XXXXX-74923,22:00-08:00 IST,OPEN
evt_21e41,cust_bfc,Amit Joshi,Chennai,failed_payment,insufficient_funds,13175.76,INR,2026-08-26T17:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,0.0,0.1,+91-XXXXX-44737,22:00-08:00 IST,OPEN
evt_6f15f,cust_1d58,Rohan Agarwal,Chandigarh,abandoned_checkout,otp_abandon,10119.61,INR,2026-08-28T00:00:00Z,2026-08-31T10:00:00Z,sms,english,0.0,0.24,+91-XXXXX-47667,22:00-08:00 IST,OPEN
evt_52a68,cust_9b0,Riya Desai,Chandigarh,overdue_invoice,forgotten,132161.09,INR,2026-08-26T16:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.16,+91-XXXXX-42007,22:00-08:00 IST,OPEN
evt_a0648,cust_1e47,Sai Iyer,Delhi,failed_payment,insufficient_funds,1645.04,INR,2026-08-27T08:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,2.0,0.1,+91-XXXXX-11231,22:00-08:00 IST,OPEN
evt_e6666,cust_21ae,Myra Rao,Delhi,failed_payment,insufficient_funds,6905.08,INR,2026-08-27T17:00:00Z,2026-08-31T10:00:00Z,email,hinglish,3.0,0.78,+91-XXXXX-73335,22:00-08:00 IST,OPEN
evt_33b7a,cust_1316,Arjun Joshi,Chennai,abandoned_checkout,payment_page_drop,4789.45,INR,2026-08-28T06:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,0.0,0.89,+91-XXXXX-89482,22:00-08:00 IST,OPEN
evt_d72d9,cust_23b2,Myra Malhotra,Indore,subscription_lapse,card_expired,1328.54,INR,2026-08-29T09:00:00Z,2026-08-31T10:00:00Z,sms,hindi,1.0,0.65,+91-XXXXX-94717,22:00-08:00 IST,OPEN
evt_22819,cust_17ad,Suresh Nair,Indore,subscription_lapse,card_expired,3741.82,INR,2026-08-30T10:00:00Z,2026-08-31T10:00:00Z,email,hinglish,0.0,0.12,+91-XXXXX-75771,22:00-08:00 IST,OPEN
evt_5e2e5,cust_e6f,Rahul Bansal,Pune,abandoned_checkout,genuine_abandonment,17667.15,INR,2026-08-30T04:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,1.0,0.13,+91-XXXXX-83048,22:00-08:00 IST,OPEN
evt_760d6,cust_9af,Arjun Sharma,Pune,abandoned_checkout,otp_abandon,3965.25,INR,2026-08-27T11:00:00Z,2026-08-31T10:00:00Z,sms,hindi,0.0,0.34,+91-XXXXX-13280,22:00-08:00 IST,OPEN
evt_b7049,cust_18e6,Diya Malhotra,Chandigarh,failed_payment,insufficient_funds,9713.36,INR,2026-08-26T11:00:00Z,2026-08-31T10:00:00Z,email,hinglish,0.0,0.1,+91-XXXXX-22739,22:00-08:00 IST,OPEN
evt_5485d,cust_264f,Vikram Vera,Ahmedabad,subscription_lapse,card_expired,3450.96,INR,2026-08-25T15:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,0.0,0.2,+91-XXXXX-46666,22:00-08:00 IST,OPEN
evt_20ca1,cust_1b9e,Deepak Kumar,Ahmedabad,failed_payment,insufficient_funds,12904.03,INR,2026-08-30T08:00:00Z,2026-08-31T10:00:00Z,email,hinglish,2.0,0.77,+91-XXXXX-69600,22:00-08:00 IST,OPEN
evt_2fe1e,cust_117b,Diya Sharma,Mumbai,subscription_lapse,card_expired,1444.02,INR,2026-08-30T01:00:00Z,2026-08-31T10:00:00Z,voice,hinglish,1.0,0.24,+91-XXXXX-29340,22:00-08:00 IST,OPEN
evt_e24e8,cust_416,Rahul Patel,Delhi,abandoned_checkout,otp_abandon,7014.95,INR,2026-08-29T13:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,0.0,0.18,+91-XXXXX-44782,22:00-08:00 IST,OPEN
evt_25d40,cust_c04,Riya Pillai,Bangalore,abandoned_checkout,genuine_abandonment,3144.04,INR,2026-08-26T15:00:00Z,2026-08-31T10:00:00Z,voice,hindi,0.0,0.68,+91-XXXXX-96363,22:00-08:00 IST,OPEN
evt_9de7d,cust_1735,Suresh Sharma,Mumbai,abandoned_checkout,otp_abandon,21335.01,INR,2026-08-26T20:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,2.0,0.08,+91-XXXXX-46046,22:00-08:00 IST,OPEN
evt_b83d4,cust_2700,Ishaan Vera,Indore,abandoned_checkout,otp_abandon,8076.84,INR,2026-08-26T00:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,1.0,0.35,+91-XXXXX-38183,22:00-08:00 IST,OPEN
evt_86831,cust_20ce,Saanvi Chopra,Chennai,subscription_lapse,card_expired,2173.43,INR,2026-08-30T09:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.38,+91-XXXXX-21188,22:00-08:00 IST,OPEN
evt_3047e,cust_1f8b,Ananya Kapoor,Delhi,abandoned_checkout,payment_page_drop,1368.78,INR,2026-08-25T10:00:00Z,2026-08-31T10:00:00Z,sms,hindi,0.0,0.68,+91-XXXXX-16743,22:00-08:00 IST,OPEN
evt_620c1,cust_17e7,Pooja Desai,Indore,abandoned_checkout,otp_abandon,6104.94,INR,2026-08-26T06:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,1.0,0.63,+91-XXXXX-83526,22:00-08:00 IST,OPEN
evt_dce07,cust_596,Diya Shah,Mumbai,failed_payment,insufficient_funds,4462.42,INR,2026-08-28T02:00:00Z,2026-08-31T10:00:00Z,email,hinglish,0.0,0.1,+91-XXXXX-14018,22:00-08:00 IST,OPEN
evt_2fe76,cust_25db,Deepak Vera,Kolkata,subscription_lapse,card_expired,1901.55,INR,2026-08-27T11:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,2.0,0.67,+91-XXXXX-16522,22:00-08:00 IST,OPEN
evt_c4f33,cust_920,Rahul Kumar,Chandigarh,subscription_lapse,card_expired,2582.1,INR,2026-08-26T16:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.17,+91-XXXXX-79066,22:00-08:00 IST,OPEN
evt_c3333,cust_17a5,Priya Malhotra,Kolkata,failed_payment,bank_decline,2588.68,INR,2026-08-29T05:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.14,+91-XXXXX-33028,22:00-08:00 IST,OPEN
evt_397c5,cust_1c3d,Kiara Malhotra,Jaipur,abandoned_checkout,payment_page_drop,12583.47,INR,2026-08-27T15:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,0.0,0.06,+91-XXXXX-85156,22:00-08:00 IST,OPEN
evt_7ff24,cust_1ea3,Myra Desai,Kolkata,failed_payment,insufficient_funds,14509.9,INR,2026-08-29T14:00:00Z,2026-08-31T10:00:00Z,voice,hindi,1.0,0.37,+91-XXXXX-87184,22:00-08:00 IST,OPEN
evt_7eede,cust_2570,Rohan Vera,Pune,abandoned_checkout,genuine_abandonment,8111.24,INR,2026-08-27T20:00:00Z,2026-08-31T10:00:00Z,voice,hinglish,1.0,0.24,+91-XXXXX-94599,22:00-08:00 IST,OPEN
evt_e9104,cust_d5b,Saanvi Desai,Delhi,failed_payment,insufficient_funds,3360.44,INR,2026-08-29T18:00:00Z,2026-08-31T10:00:00Z,voice,hindi,0.0,0.55,+91-XXXXX-68838,22:00-08:00 IST,OPEN
evt_c6c8c,cust_1897,Ishaan Patel,Ahmedabad,failed_payment,insufficient_funds,7299.36,INR,2026-08-28T04:00:00Z,2026-08-31T10:00:00Z,voice,hindi,0.0,0.08,+91-XXXXX-47627,22:00-08:00 IST,OPEN
evt_2c0ea,cust_9af,Diya Verma,Jaipur,subscription_lapse,card_expired,2474.21,INR,2026-08-25T12:00:00Z,2026-08-31T10:00:00Z,email,hindi,0.0,0.37,+91-XXXXX-75715,22:00-08:00 IST,OPEN
evt_3f08d,cust_7dd,Suresh Desai,Chennai,overdue_invoice,forgotten,21806.08,INR,2026-08-29T13:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,3.0,0.58,+91-XXXXX-60779,22:00-08:00 IST,OPEN
evt_810f1,cust_198f,Diya Nair,Chandigarh,failed_payment,bank_decline,10704.83,INR,2026-08-27T21:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,0.0,0.6,+91-XXXXX-53694,22:00-08:00 IST,OPEN
evt_2d475,cust_cf5,Pooja Reddy,Chandigarh,overdue_invoice,cash_flow_delay,170601.76,INR,2026-08-30T00:00:00Z,2026-08-31T10:00:00Z,sms,english,0.0,0.18,+91-XXXXX-99838,22:00-08:00 IST,OPEN
evt_9f2bb,cust_9e3,Riya Pillai,Chennai,failed_payment,insufficient_funds,5757.67,INR,2026-08-29T11:00:00Z,2026-08-31T10:00:00Z,email,hinglish,1.0,0.12,+91-XXXXX-23256,22:00-08:00 IST,OPEN
evt_9a61f,cust_2673,Amit Nair,Chandigarh,subscription_lapse,card_expired,4418.92,INR,2026-08-30T00:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0.0,0.29,+91-XXXXX-15726,22:00-08:00 IST,OPEN
evt_81980,cust_1b38,Saanvi Kumar,Indore,subscription_lapse,card_expired,3835.99,INR,2026-08-26T15:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,3.0,0.32,+91-XXXXX-84766,22:00-08:00 IST,OPEN
evt_8934f,cust_2174,Myra Vera,Jaipur,abandoned_checkout,otp_abandon,11047.28,INR,2026-08-29T16:00:00Z,2026-08-31T10:00:00Z,voice,english,0.0,0.14,+91-XXXXX-23446,22:00-08:00 IST,OPEN
evt_ce885,cust_24ec,Ananya Reddy,Bangalore,subscription_lapse,mandate_revoked,1220.57,INR,2026-08-26T14:00:00Z,2026-08-31T10:00:00Z,email,hinglish,0.0,0.38,+91-XXXXX-13495,22:00-08:00 IST,OPEN
evt_82a0a,cust_750,Arjun Pillai,Chennai,failed_payment,insufficient_funds,6099.41,INR,2026-08-30T13:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,2.0,0.34,+91-XXXXX-47601,22:00-08:00 IST,OPEN
evt_ecd54,cust_2224,Vikram Bansal,Ahmedabad,failed_payment,bank_decline,1152.28,INR,2026-08-30T13:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.58,+91-XXXXX-41147,22:00-08:00 IST,OPEN
evt_65823,cust_bb4,Priya Malhotra,Kolkata,failed_payment,bank_decline,24023.07,INR,2026-08-26T12:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,0.0,0.24,+91-XXXXX-48177,22:00-08:00 IST,OPEN
evt_864c9,cust_401,Diya Kapoor,Hyderabad,abandoned_checkout,payment_page_drop,6539.65,INR,2026-08-30T12:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,3.0,0.24,+91-XXXXX-71621,22:00-08:00 IST,OPEN
evt_238f1,cust_1caa,Pooja Shah,Lucknow,failed_payment,insufficient_funds,5677.86,INR,2026-08-30T16:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,1.0,0.32,+91-XXXXX-81567,22:00-08:00 IST,OPEN
evt_6f150,cust_f1c,Suresh Bansal,Chandigarh,failed_payment,insufficient_funds,12266.72,INR,2026-08-30T17:00:00Z,2026-08-31T10:00:00Z,voice,english,0.0,0.12,+91-XXXXX-50642,22:00-08:00 IST,OPEN
evt_9c5a2,cust_1d64,Kiara Bansal,Pune,failed_payment,insufficient_funds,11422.72,INR,2026-08-29T09:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,0.0,0.28,+91-XXXXX-62431,22:00-08:00 IST,OPEN
evt_d6b36,cust_200c,Arjun Agarwal,Delhi,abandoned_checkout,otp_abandon,17609.34,INR,2026-08-27T11:00:00Z,2026-08-31T10:00:00Z,email,hindi,1.0,0.42,+91-XXXXX-81496,22:00-08:00 IST,OPEN
evt_639e4,cust_1876,Ananya Gupta,Chennai,failed_payment,bank_decline,9573.56,INR,2026-08-26T15:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,1.0,0.17,+91-XXXXX-67008,22:00-08:00 IST,OPEN
evt_5eb34,cust_793,Rohan Vera,Chennai,abandoned_checkout,otp_abandon,20226.1,INR,2026-08-29T17:00:00Z,2026-08-31T10:00:00Z,email,hinglish,1.0,0.41,+91-XXXXX-58015,22:00-08:00 IST,OPEN
evt_751fe,cust_1c68,Sai Nair,Indore,failed_payment,insufficient_funds,10346.4,INR,2026-08-27T11:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,0.0,0.24,+91-XXXXX-24869,22:00-08:00 IST,OPEN
evt_1f0c4,cust_fd0,Navya Pillai,Kolkata,abandoned_checkout,payment_page_drop,2206.65,INR,2026-08-28T15:00:00Z,2026-08-31T10:00:00Z,voice,hinglish,1.0,0.29,+91-XXXXX-19706,22:00-08:00 IST,OPEN
