event_id,customer_id,customer_name,city,failure_type,sub_reason,amount_inr,currency,failed_at,detected_at,contact_channel_pref,language_pref,prior_attempts,risk_score,phone_masked,do_not_disturb_hours,recoverability_score,urgency,failure_category,is_recoverable,action,channel_selected,reason_string,stopping_rule_triggered,recommended_delay_mins,script_template_key,tool_execution_status,tool_output_details,outcome_status,is_recovered,amount_recovered_inr,intervention_cost_inr,net_gain_inr,recovery_probability
evt_dc77b,cust_bf4,Vikram Bansal,Jaipur,failed_payment,insufficient_funds,4343.32,INR,2026-08-26T21:00:00Z,2026-08-31T10:00:00Z,email,english,1,0.29,+91-XXXXX-58944,22:00-08:00 IST,0.64,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_EMAIL,email,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_EMAIL on preferred channel (email). Recoverability=0.64.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""email"", ""recipient_name"": ""Vikram Bansal"", ""language"": ""english"", ""message_body"": ""Hi Vikram Bansal, your payment of \u20b94,343.32 could not be processed. Retry instantly using your preferred payment mode: https://rzp.io/l/rec_evt_dc"", ""payment_link"": ""https://rzp.io/l/rec_evt_dc"", ""estimated_cost_inr"": 0.05}",FAILED_TO_RECOVER,False,0.0,0.05,-0.05,0.271
evt_88915,cust_2507,Suresh Desai,Hyderabad,failed_payment,insufficient_funds,1428.38,INR,2026-08-31T04:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0,0.59,+91-XXXXX-53309,22:00-08:00 IST,0.73,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_SMS,sms,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_SMS on preferred channel (sms). Recoverability=0.73.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""sms"", ""recipient_name"": ""Suresh Desai"", ""language"": ""hinglish"", ""message_body"": ""Hi Suresh Desai, aapka \u20b91,428.38 ka payment attempt clear nahi ho paya. Click here to retry via UPI or Card: https://rzp.io/l/rec_evt_88"", ""payment_link"": ""https://rzp.io/l/rec_evt_88"", ""estimated_cost_inr"": 0.15}",FAILED_TO_RECOVER,False,0.0,0.15,-0.15,0.271
evt_2a8db,cust_24cf,Saanvi Shah,Chandigarh,abandoned_checkout,otp_abandon,6140.9,INR,2026-08-30T00:00:00Z,2026-08-31T10:00:00Z,voice,english,0,0.14,+91-XXXXX-96374,22:00-08:00 IST,0.67,HIGH,CHECKOUT_ABANDONED,True,VOICE_CALL,voice,"Selected Voice Call due to high urgency (HIGH), transaction value (₹6,140.90), or explicit channel preference. Recoverability=0.67.",,30,voice_otp_abandon,LIVE_CALL_SCHEDULED,"{""status"": ""LIVE_CALL_SCHEDULED"", ""provider"": ""ElevenLabs_Groq_Engine"", ""agent_id"": ""agent_rzp_recovery_v1"", ""call_config"": {""voice_id"": ""r1KmysJdVYZjJCm4mL3b"", ""language"": ""english"", ""agent_opening_line"": ""Hello Saanvi Shah, this is Riya calling from Razorpay Payment Support regarding your transaction of Rs. 6,140.90."", ""payment_link"": ""https://rzp.io/l/rec_evt_2a"", ""objection_strategy"": ""Dynamic Groq LLM + ElevenLabs TTS voice resolution for otp_abandon.""}, ""estimated_cost_inr"": 3.5}",RECOVERED_SUCCESS,True,6140.9,3.5,6137.4,0.608
evt_86c35,cust_1a94,Riya Chopra,Ahmedabad,abandoned_checkout,genuine_abandonment,2975.08,INR,2026-08-30T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,1,0.09,+91-XXXXX-34050,22:00-08:00 IST,0.01,MEDIUM,IRRECOVERABLE_OR_REVOKED,False,NO_ACTION_STOP,none,"Execution halted by stopping rule: PERMANENT_DECLINE_OR_REVOKED_MANDATE. Recoverability=0.01, PriorAttempts=1, RiskScore=0.09.",PERMANENT_DECLINE_OR_REVOKED_MANDATE,0,none,SKIPPED_OR_STOPPED,"{""status"": ""SKIPPED_OR_STOPPED"", ""estimated_cost_inr"": 0.0}",UNRECOVERED_STOPPED,False,0.0,0.0,0.0,0.0
evt_5fb8b,cust_2183,Saanvi Gupta,Ahmedabad,abandoned_checkout,payment_page_drop,1918.77,INR,2026-08-25T15:00:00Z,2026-08-31T10:00:00Z,voice,english,2,0.35,+91-XXXXX-62565,22:00-08:00 IST,0.28,MEDIUM,CHECKOUT_ABANDONED,False,VOICE_CALL,voice,"Selected Voice Call due to high urgency (MEDIUM), transaction value (₹1,918.77), or explicit channel preference. Recoverability=0.28.",,30,voice_payment_page_drop,LIVE_CALL_SCHEDULED,"{""status"": ""LIVE_CALL_SCHEDULED"", ""provider"": ""ElevenLabs_Groq_Engine"", ""agent_id"": ""agent_rzp_recovery_v1"", ""call_config"": {""voice_id"": ""r1KmysJdVYZjJCm4mL3b"", ""language"": ""english"", ""agent_opening_line"": ""Hello Saanvi Gupta, this is Riya calling from Razorpay Payment Support regarding your transaction of Rs. 1,918.77."", ""payment_link"": ""https://rzp.io/l/rec_evt_5f"", ""objection_strategy"": ""Dynamic Groq LLM + ElevenLabs TTS voice resolution for payment_page_drop.""}, ""estimated_cost_inr"": 3.5}",RECOVERED_SUCCESS,True,1918.77,3.5,1915.27,0.284
evt_276cb,cust_e71,Arjun Sharma,Kolkata,failed_payment,insufficient_funds,13934.51,INR,2026-08-26T13:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,1,0.32,+91-XXXXX-38534,22:00-08:00 IST,0.64,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_WHATSAPP,whatsapp,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_WHATSAPP on preferred channel (whatsapp). Recoverability=0.64.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""whatsapp"", ""recipient_name"": ""Arjun Sharma"", ""language"": ""hindi"", ""message_body"": ""\u0928\u092e\u0938\u094d\u0924\u0947 Arjun Sharma, \u0906\u092a\u0915\u093e \u20b913,934.51 \u0915\u093e \u092d\u0941\u0917\u0924\u093e\u0928 \u092a\u0942\u0930\u093e \u0928\u0939\u0940\u0902 \u0939\u094b \u0938\u0915\u093e\u0964 \u0915\u0943\u092a\u092f\u093e \u092f\u0942\u092a\u0940\u0906\u0908 \u092f\u093e \u0915\u093e\u0930\u094d\u0921 \u0938\u0947 \u092a\u0941\u0928\u0903 \u092a\u094d\u0930\u092f\u093e\u0938 \u0915\u0930\u0947\u0902: https://rzp.io/l/rec_evt_27"", ""payment_link"": ""https://rzp.io/l/rec_evt_27"", ""estimated_cost_inr"": 0.5}",FAILED_TO_RECOVER,False,0.0,0.5,-0.5,0.339
evt_2762c,cust_269b,Priya Agarwal,Mumbai,failed_payment,insufficient_funds,8970.58,INR,2026-08-26T01:00:00Z,2026-08-31T10:00:00Z,email,hindi,0,0.23,+91-XXXXX-40828,22:00-08:00 IST,0.8,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_EMAIL,email,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_EMAIL on preferred channel (email). Recoverability=0.8.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""email"", ""recipient_name"": ""Priya Agarwal"", ""language"": ""hindi"", ""message_body"": ""\u0928\u092e\u0938\u094d\u0924\u0947 Priya Agarwal, \u0906\u092a\u0915\u093e \u20b98,970.58 \u0915\u093e \u092d\u0941\u0917\u0924\u093e\u0928 \u092a\u0942\u0930\u093e \u0928\u0939\u0940\u0902 \u0939\u094b \u0938\u0915\u093e\u0964 \u0915\u0943\u092a\u092f\u093e \u092f\u0942\u092a\u0940\u0906\u0908 \u092f\u093e \u0915\u093e\u0930\u094d\u0921 \u0938\u0947 \u092a\u0941\u0928\u0903 \u092a\u094d\u0930\u092f\u093e\u0938 \u0915\u0930\u0947\u0902: https://rzp.io/l/rec_evt_27"", ""payment_link"": ""https://rzp.io/l/rec_evt_27"", ""estimated_cost_inr"": 0.05}",FAILED_TO_RECOVER,False,0.0,0.05,-0.05,0.364
evt_7fc7d,cust_b94,Sai Malhotra,Indore,failed_payment,bank_decline,2152.51,INR,2026-08-30T13:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,0,0.38,+91-XXXXX-61876,22:00-08:00 IST,0.67,MEDIUM,TRANSIENT_BANK_ERROR,True,AUTO_RETRY,system_gateway,Transient bank error detected with prior_attempts=0. Triggering automated gateway retry in 15m. Recoverability=0.67.,,15,auto_retry_stub,GATEWAY_RETRY_EXECUTED,"{""status"": ""GATEWAY_RETRY_EXECUTED"", ""api_endpoint"": ""POST /v1/payments/retry"", ""request_payload"": {""event_id"": ""evt_7fc7d"", ""amount"": 2152.51, ""retry_mode"": ""auto_background_debit""}, ""response"": {""status_code"": 400, ""gateway_status"": ""failed"", ""reason"": ""Issuer bank still unresponsive""}, ""estimated_cost_inr"": 0.0}",RECOVERED_SUCCESS,True,2152.51,0.0,2152.51,0.702
evt_39eb3,cust_171b,Suresh Agarwal,Bangalore,failed_payment,insufficient_funds,7145.14,INR,2026-08-30T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0,0.38,+91-XXXXX-30676,22:00-08:00 IST,0.77,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_WHATSAPP,whatsapp,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_WHATSAPP on preferred channel (whatsapp). Recoverability=0.77.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""whatsapp"", ""recipient_name"": ""Suresh Agarwal"", ""language"": ""hinglish"", ""message_body"": ""Hi Suresh Agarwal, aapka \u20b97,145.14 ka payment attempt clear nahi ho paya. Click here to retry via UPI or Card: https://rzp.io/l/rec_evt_39"", ""payment_link"": ""https://rzp.io/l/rec_evt_39"", ""estimated_cost_inr"": 0.5}",FAILED_TO_RECOVER,False,0.0,0.5,-0.5,0.444
evt_8896d,cust_26ac,Myra Verma,Chandigarh,abandoned_checkout,otp_abandon,1186.76,INR,2026-08-25T12:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,2,0.1,+91-XXXXX-45697,22:00-08:00 IST,0.38,HIGH,CHECKOUT_ABANDONED,True,NUDGE_WHATSAPP,whatsapp,Recoverable CHECKOUT_ABANDONED (otp_abandon). Dispatching low-cost interactive NUDGE_WHATSAPP on preferred channel (whatsapp). Recoverability=0.38.,,0,nudge_otp_abandon,SENT,"{""status"": ""SENT"", ""channel"": ""whatsapp"", ""recipient_name"": ""Myra Verma"", ""language"": ""hindi"", ""message_body"": ""\u0928\u092e\u0938\u094d\u0924\u0947 Myra Verma, \u0906\u092a\u0915\u093e \u091a\u0947\u0915\u0906\u0909\u091f \u0905\u0927\u0942\u0930\u093e \u0930\u0939 \u0917\u092f\u093e \u0925\u093e\u0964 \u0907\u0938\u0947 \u0924\u0941\u0930\u0902\u0924 \u092a\u0942\u0930\u093e \u0915\u0930\u0928\u0947 \u0915\u0947 \u0932\u093f\u090f \u092f\u0939\u093e\u0901 \u0915\u094d\u0932\u093f\u0915 \u0915\u0930\u0947\u0902: https://rzp.io/l/rec_evt_88"", ""payment_link"": ""https://rzp.io/l/rec_evt_88"", ""estimated_cost_inr"": 0.5}",FAILED_TO_RECOVER,False,0.0,0.5,-0.5,0.216
evt_608b2,cust_1162,Ishaan Mehta,Chandigarh,failed_payment,bank_decline,25734.47,INR,2026-08-26T00:00:00Z,2026-08-31T10:00:00Z,sms,english,1,0.08,+91-XXXXX-27146,22:00-08:00 IST,0.58,MEDIUM,TRANSIENT_BANK_ERROR,True,NUDGE_SMS,sms,Recoverable TRANSIENT_BANK_ERROR (bank_decline). Dispatching low-cost interactive NUDGE_SMS on preferred channel (sms). Recoverability=0.58.,,120,nudge_bank_decline,SENT,"{""status"": ""SENT"", ""channel"": ""sms"", ""recipient_name"": ""Ishaan Mehta"", ""language"": ""english"", ""message_body"": ""Hi Ishaan Mehta, your payment of \u20b925,734.47 could not be processed. Retry instantly using your preferred payment mode: https://rzp.io/l/rec_evt_60"", ""payment_link"": ""https://rzp.io/l/rec_evt_60"", ""estimated_cost_inr"": 0.15}",FAILED_TO_RECOVER,False,0.0,0.15,-0.15,0.202
evt_bb83d,cust_14ab,Kavita Kumar,Jaipur,overdue_invoice,forgotten,69876.17,INR,2026-08-31T07:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,1,0.1,+91-XXXXX-66333,22:00-08:00 IST,0.53,HIGH,B2B_INVOICE_PENDING,True,VOICE_CALL,voice,"Selected Voice Call due to high urgency (HIGH), transaction value (₹69,876.17), or explicit channel preference. Recoverability=0.53.",,30,voice_forgotten,LIVE_CALL_SCHEDULED,"{""status"": ""LIVE_CALL_SCHEDULED"", ""provider"": ""ElevenLabs_Groq_Engine"", ""agent_id"": ""agent_rzp_recovery_v1"", ""call_config"": {""voice_id"": ""r1KmysJdVYZjJCm4mL3b"", ""language"": ""english"", ""agent_opening_line"": ""Hello Kavita Kumar, this is Riya calling from Razorpay Payment Support regarding your transaction of Rs. 69,876.17."", ""payment_link"": ""https://rzp.io/l/rec_evt_bb"", ""objection_strategy"": ""Dynamic Groq LLM + ElevenLabs TTS voice resolution for forgotten.""}, ""estimated_cost_inr"": 3.5}",RECOVERED_SUCCESS,True,69876.17,3.5,69872.67,0.455
evt_390a4,cust_695,Myra Kapoor,Mumbai,subscription_lapse,card_expired,1286.57,INR,2026-08-28T18:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0,0.69,+91-XXXXX-41029,22:00-08:00 IST,0.66,HIGH,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_SMS,sms,Recoverable RECOVERABLE_PAYMENT_METHOD (card_expired). Dispatching low-cost interactive NUDGE_SMS on preferred channel (sms). Recoverability=0.66.,,120,nudge_card_expired,SENT,"{""status"": ""SENT"", ""channel"": ""sms"", ""recipient_name"": ""Myra Kapoor"", ""language"": ""hinglish"", ""message_body"": ""Hi Myra Kapoor, aapka subscription payment expiry ki wajah se pause ho gaya hai. Simply update your card details here to keep services active: https://rzp.io/l/rec_evt_39"", ""payment_link"": ""https://rzp.io/l/rec_evt_39"", ""estimated_cost_inr"": 0.15}",FAILED_TO_RECOVER,False,0.0,0.15,-0.15,0.255
evt_4203b,cust_f3c,Riya Sharma,Delhi,abandoned_checkout,genuine_abandonment,18640.77,INR,2026-08-27T00:00:00Z,2026-08-31T10:00:00Z,voice,english,1,0.64,+91-XXXXX-71694,22:00-08:00 IST,0.01,MEDIUM,IRRECOVERABLE_OR_REVOKED,False,NO_ACTION_STOP,none,"Execution halted by stopping rule: PERMANENT_DECLINE_OR_REVOKED_MANDATE. Recoverability=0.01, PriorAttempts=1, RiskScore=0.64.",PERMANENT_DECLINE_OR_REVOKED_MANDATE,0,none,SKIPPED_OR_STOPPED,"{""status"": ""SKIPPED_OR_STOPPED"", ""estimated_cost_inr"": 0.0}",UNRECOVERED_STOPPED,False,0.0,0.0,0.0,0.0
evt_515b6,cust_10ad,Suresh Kapoor,Pune,failed_payment,insufficient_funds,3732.39,INR,2026-08-29T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0,0.32,+91-XXXXX-80282,22:00-08:00 IST,0.79,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_WHATSAPP,whatsapp,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_WHATSAPP on preferred channel (whatsapp). Recoverability=0.79.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""whatsapp"", ""recipient_name"": ""Suresh Kapoor"", ""language"": ""hinglish"", ""message_body"": ""Hi Suresh Kapoor, aapka \u20b93,732.39 ka payment attempt clear nahi ho paya. Click here to retry via UPI or Card: https://rzp.io/l/rec_evt_51"", ""payment_link"": ""https://rzp.io/l/rec_evt_51"", ""estimated_cost_inr"": 0.5}",FAILED_TO_RECOVER,False,0.0,0.5,-0.5,0.451
evt_6d303,cust_5ac,Ananya Shah,Delhi,abandoned_checkout,payment_page_drop,14456.71,INR,2026-08-28T14:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,0,0.33,+91-XXXXX-85574,22:00-08:00 IST,0.58,MEDIUM,CHECKOUT_ABANDONED,True,NUDGE_WHATSAPP,whatsapp,Recoverable CHECKOUT_ABANDONED (payment_page_drop). Dispatching low-cost interactive NUDGE_WHATSAPP on preferred channel (whatsapp). Recoverability=0.58.,,120,nudge_payment_page_drop,SENT,"{""status"": ""SENT"", ""channel"": ""whatsapp"", ""recipient_name"": ""Ananya Shah"", ""language"": ""hindi"", ""message_body"": ""\u0928\u092e\u0938\u094d\u0924\u0947 Ananya Shah, \u0906\u092a\u0915\u093e \u20b914,456.71 \u0915\u093e \u092d\u0941\u0917\u0924\u093e\u0928 \u092a\u0942\u0930\u093e \u0928\u0939\u0940\u0902 \u0939\u094b \u0938\u0915\u093e\u0964 \u0915\u0943\u092a\u092f\u093e \u092f\u0942\u092a\u0940\u0906\u0908 \u092f\u093e \u0915\u093e\u0930\u094d\u0921 \u0938\u0947 \u092a\u0941\u0928\u0903 \u092a\u094d\u0930\u092f\u093e\u0938 \u0915\u0930\u0947\u0902: https://rzp.io/l/rec_evt_6d"", ""payment_link"": ""https://rzp.io/l/rec_evt_6d"", ""estimated_cost_inr"": 0.5}",FAILED_TO_RECOVER,False,0.0,0.5,-0.5,0.378
